cProfile report: regex_hotspot_baseline_20260216_172110
sorted by: tottime

         6063979 function calls (6063427 primitive calls) in 3.665 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   288000    0.845    0.000    0.845    0.000 {method 'sub' of 're.Pattern' objects}
   300000    0.512    0.000    0.512    0.000 {method 'search' of 're.Pattern' objects}
   588000    0.319    0.000    0.564    0.000 __init__.py:280(_compile)
   144000    0.266    0.000    1.585    0.000 aura_effects.py:86(_normalize_desc)
   156000    0.184    0.000    0.283    0.000 regex_hotspot_metrics.py:37(increment)
   300000    0.148    0.000    1.042    0.000 __init__.py:174(search)
   288000    0.145    0.000    1.172    0.000 __init__.py:179(sub)
   720000    0.117    0.000    0.117    0.000 {method 'replace' of 'str' objects}
   156000    0.115    0.000    0.424    0.000 aura_effects.py:83(_count_regex_hotspot)
   144000    0.101    0.000    0.247    0.000 aura_effects.py:164(_is_aura_ability)
   300000    0.098    0.000    0.142    0.000 enum.py:202(__get__)
   590594    0.094    0.000    0.094    0.000 {built-in method builtins.isinstance}
   484000    0.088    0.000    0.088    0.000 {method 'strip' of 'str' objects}
    24000    0.077    0.000    0.814    0.000 aura_effects.py:454(_parse_reroll_ones_aura)
   144000    0.069    0.000    0.123    0.000 aura_effects.py:76(_norm)
    24000    0.055    0.000    0.605    0.000 aura_effects.py:695(_parse_strength_aura)
    24000    0.047    0.000    0.539    0.000 aura_effects.py:524(_parse_add_oc_aura)
    24000    0.047    0.000    0.558    0.000 aura_effects.py:407(_parse_simple_plus_one_aura)
    24000    0.046    0.000    0.598    0.000 aura_effects.py:811(_parse_toughness_aura)
   300000    0.045    0.000    0.045    0.000 enum.py:1292(value)
   288000    0.042    0.000    0.042    0.000 {built-in method builtins.getattr}
    24000    0.039    0.000    0.550    0.000 aura_effects.py:496(_parse_full_hit_reroll_aura)
   156076    0.039    0.000    0.039    0.000 {method 'get' of 'dict' objects}
   156046    0.034    0.000    0.034    0.000 {built-in method builtins.max}
   152000    0.030    0.000    0.030    0.000 {method 'lower' of 'str' objects}
   156001    0.027    0.000    0.027    0.000 {method '__exit__' of '_thread.RLock' objects}
    76000    0.019    0.000    0.019    0.000 {method 'group' of 're.Match' objects}
    12000    0.008    0.000    0.066    0.000 aura_effects.py:330(_parse_excluded_keywords)
   101/18    0.002    0.000    0.005    0.000 _parser.py:512(_parse)
   140/18    0.002    0.000    0.003    0.000 _compiler.py:37(_compile)
     5772    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2324    0.001    0.000    0.001    0.000 _parser.py:168(__getitem__)
     1535    0.000    0.000    0.001    0.000 _parser.py:261(get)
     1947    0.000    0.000    0.000    0.000 _parser.py:240(__next)
     1456    0.000    0.000    0.001    0.000 _parser.py:176(append)
   170/48    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
    74/18    0.000    0.000    0.005    0.000 _parser.py:452(_parse_sub)
1641/1472    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1326    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1335    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1023    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      374    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      340    0.000    0.000    0.000    0.000 _parser.py:256(match)
       18    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       36    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       30    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       18    0.000    0.000    0.009    0.000 _compiler.py:740(compile)
      183    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      108    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       18    0.000    0.000    0.005    0.000 _parser.py:969(parse)
       18    0.000    0.000    0.004    0.000 _compiler.py:573(_code)
       30    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      166    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       61    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       14    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
       30    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       96    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       46    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       36    0.000    0.000    0.000    0.000 enum.py:726(__call__)
       18    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       14    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       18    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       36    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       30    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       36    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       30    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       16    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       52    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
       18    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       34    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       30    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       30    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       18    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       18    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 profiling_controller.py:55(disable)
        7    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}



--- REGEX HOTSPOT COUNTERS ---
Regex hotspot counters (descending):
- aura_effects:_parse_add_oc_aura: 24000
- aura_effects:_parse_full_hit_reroll_aura: 24000
- aura_effects:_parse_reroll_ones_aura: 24000
- aura_effects:_parse_simple_plus_one_aura: 24000
- aura_effects:_parse_strength_aura: 24000
- aura_effects:_parse_toughness_aura: 24000
- aura_effects:_parse_excluded_keywords: 12000
